ensembl_gene_id,external_gene_name
ENSAPEG00000007722,pax6b
ENSAPEG00000023250,
ENSAPEG00000007702,hsd11b1la
ENSAPEG00000013973,cp
ENSAPEG00000016229,
ENSAPEG00000024384,
ENSAPEG00000011739,ucp1
ENSAPEG00000022337,pde6ha
ENSAPEG00000009703,BRSK2
ENSAPEG00000014760,IQSEC3
ENSAPEG00000024133,
ENSAPEG00000005882,oxct1a
ENSAPEG00000012691,gatd3l
ENSAPEG00000003119,fam219aa
ENSAPEG00000005275,slc6a1b
ENSAPEG00000007546,CHIA
ENSAPEG00000019495,cacna1da
ENSAPEG00000020143,sybu
ENSAPEG00000022341,
ENSAPEG00000001368,camk1gb
ENSAPEG00000006913,
ENSAPEG00000013478,SHMT2
ENSAPEG00000016360,SLC7A5
ENSAPEG00000001314,SCG2
ENSAPEG00000008280,diabloa
ENSAPEG00000022463,
ENSAPEG00000024362,
ENSAPEG00000000375,C8A
ENSAPEG00000003493,
ENSAPEG00000004037,saga
ENSAPEG00000004162,
ENSAPEG00000005229,IGFBP1
ENSAPEG00000011919,
ENSAPEG00000016791,rbp2b
ENSAPEG00000021138,
ENSAPEG00000022029,ATCAY
ENSAPEG00000000371,
ENSAPEG00000008394,aldh8a1
ENSAPEG00000015491,SERPINA4
ENSAPEG00000017684,LAMP5
ENSAPEG00000017685,prph2lb
ENSAPEG00000018654,
ENSAPEG00000018502,MPP4
ENSAPEG00000000965,glrbb
ENSAPEG00000011721,
ENSAPEG00000016244,aldob
ENSAPEG00000003402,PCYT2
ENSAPEG00000013967,
ENSAPEG00000019324,hlfa
ENSAPEG00000019946,rcvrna
ENSAPEG00000001050,defbl2
ENSAPEG00000005722,
ENSAPEG00000005777,slc13a5a
ENSAPEG00000013058,hpda
ENSAPEG00000015722,
ENSAPEG00000018442,GABRG2
ENSAPEG00000003305,PLPPR1
ENSAPEG00000007084,ambp
ENSAPEG00000007900,SEZ6L
ENSAPEG00000010362,cabp1b
ENSAPEG00000010473,rnf34b
ENSAPEG00000001601,
ENSAPEG00000024476,aldh6a1
ENSAPEG00000006596,
ENSAPEG00000009345,syt5b
ENSAPEG00000009904,LECT2
ENSAPEG00000010103,pax10
ENSAPEG00000015523,
ENSAPEG00000016646,HABP2
ENSAPEG00000019664,ppa1a
ENSAPEG00000022759,glud1b
ENSAPEG00000006075,slc16a9a
ENSAPEG00000009219,minpp1a
ENSAPEG00000012031,OGDHL
ENSAPEG00000014394,got1
ENSAPEG00000016602,mapk8a
ENSAPEG00000004437,LRTM2
ENSAPEG00000006747,
ENSAPEG00000009747,pck2
ENSAPEG00000016217,
ENSAPEG00000020211,
ENSAPEG00000008011,
ENSAPEG00000009150,ftcd
ENSAPEG00000012490,
