Appetite Regulation,,,Glycolysis,,,TCA Cycle gene,,
gene ID,pval P1vsP2,pval P1vsS,gene ID,pval P1vsP2,pval P1vsS,gene ID,pval P1vsP2,pval P1vsS
adipor1a,0.6761,0.4666,aldob,0.0000,0.0000,aco1,0.1639,0.2966
adipor2,0.9723,0.7837,aldocb,0.3631,0.1511,aco2a,0.3443,0.5425
adycap1a,0.6028,0.6839,eno1a,0.0393,0.0653,aco2b,0.9936,0.1806
adycap1b,0.0184,0.0062,eno1b,0.3382,0.4826,cs,0.4455,0.4812
agrp,0.3415,0.2067,eno2b,0.0017,0.0001,dld,0.1028,0.2988
cart1,0.6801,0.7373,eno3,0.5279,0.5356,dlsta,0.8086,0.1922
cart2,0.2357,0.8397,eno4,0.7267,0.7755,dlstb,0.3865,0.8454
cart3,0.0484,0.0634,gapdha,0.2781,0.5315,fh,0.8748,0.7770
cart4,0.5422,0.1872,gapdhb,0.0304,0.0045,idh1,0.0110,0.0604
ccka,0.9695,0.2773,gapdhs,0.5494,0.2076,idh2,0.2936,0.1994
cckar,0.5921,0.7164,gpia,0.7274,0.8939,idh3aa,0.6119,0.3906
cckb,0.1367,0.0032,gpib,0.9137,0.5803,idh3ab,0.0753,0.0919
cckbra,0.4533,0.7310,hk1a,0.6127,0.6745,idh3b,0.2814,0.2014
cckbrb,0.1600,0.2561,hk1b,0.0982,0.0356,idh3ga,0.2682,0.3490
cnr1,0.2586,0.1884,hk2,0.9152,0.3750,idh3gb,0.9080,0.4846
dbi,0.1883,0.6002,pfkl,0.8873,0.3654,mdh1aa,0.0115,0.0003
gal,0.6902,0.9579,pfkma,0.9350,0.6929,mdh1ab,0.9899,0.8136
gcga,0.2682,0.5551,pfkmb,0.5924,0.4384,ogdha,0.4576,0.6432
gcgb,0.4859,0.9787,pfkpa,0.5099,0.1077,ogdhb,0.0053,0.0006
ghrl,0.0383,0.0022,pfkpb,0.1420,0.0234,ogdhl,0.0001,0.0011
gnrhr4,0.9896,0.6204,pgam1b,0.6447,0.2204,sdha,0.1765,0.0034
hcrt,0.7410,0.2989,pgam2,0.0213,0.0273,sdhaf2,0.2860,0.0719
ins,0.4233,0.9990,pgk1,0.0865,0.3382,sdhaf3,0.2866,0.1430
insra,0.0108,0.0038,pklr,0.4707,0.2840,sdhaf4,0.0480,0.2568
insrb,0.6936,0.5334,pkma,0.0773,0.1232,sdhba,0.6299,0.4958
irs1,0.6567,0.4022,pkmb,0.5434,0.3802,sdhbb,0.2943,0.0387
irs2a,0.0098,0.0014,tpi1a,0.0004,0.0000,sdhc,0.0139,0.1278
irs2b,0.0278,0.0083,tpi1b,0.8185,0.8390,sdhd,0.5440,0.0946
kiss1rb,0.8019,0.8638,,,,sucla2,0.0136,0.1696
lepa,0.6358,0.2605,,,,suclg1,0.0047,0.0253
lepr,0.5288,0.7118,,,,suclg2,0.0071,0.0182
mchr2,0.7329,0.5194,,,,,,
nmu,0.0486,0.4880,,,,,,
npy,0.0748,0.0179,,,,,,
nr5a1a,0.5679,0.2892,,,,,,
nucb2a,0.5676,0.3864,,,,,,
nucb2b,0.1028,0.4651,,,,,,
oxt,0.9410,0.5240,,,,,,
pmch,0.8590,0.5869,,,,,,
pomcaa,0.5722,0.5171,,,,,,
pomcab,0.0677,0.7574,,,,,,
pomcb,0.2758,0.7570,,,,,,
pyy,0.3126,0.0305,,,,,,
scg2,0.0514,0.0330,,,,,,
slc6a3,0.7674,0.7345,,,,,,
spx,0.4817,0.9035,,,,,,
sst,0.0617,0.0416,,,,,,
TRH,0.2166,0.1003,,,,,,
